trial_phase,country,trt,n_clusters,imr_mean,imr_sd,u5mr_mean,u5mr_sd,ratio_imr_u5mr,trial_country
AVENIR,Niger,0,929,45.7374893863868,6.400215248083641,88.49807022655006,14.727849294501107,0.516819059097011,AVENIR Niger
AVENIR,Niger,1,1229,45.63232363895037,5.755528759409439,88.24851449929753,13.234794700673492,0.5170888586381089,AVENIR Niger
CHAT,Burkina Faso,0,139,32.83829068176259,7.350485540734806,67.69714130004796,19.91027482115366,0.4850764751825543,CHAT Burkina Faso
CHAT,Burkina Faso,1,146,32.40689166054794,6.768945377915688,66.5352641938927,18.208176100121634,0.4870633949255827,CHAT Burkina Faso
MORDOR I,Malawi,0,152,41.348077895526316,5.01460326254122,71.13038154537281,10.270079480828871,0.5812998186878994,MORDOR I Malawi
MORDOR I,Malawi,1,152,41.597277109945175,4.163044502985816,71.62094860821271,8.531609781816721,0.5807976286029707,MORDOR I Malawi
MORDOR I,Tanzania,0,306,30.552621780196077,3.199509021750098,47.72178921352941,5.878593126730515,0.6402237276454469,MORDOR I Tanzania
MORDOR I,Tanzania,1,307,30.807950420363735,3.1237222563950557,48.190103827595,5.737527225039693,0.6393003536697557,MORDOR I Tanzania
MORDOR I/II,Niger,0,291,76.38295556990836,13.774678665423272,159.95104645618557,32.34422966969882,0.4775395801541785,MORDOR I/II Niger
MORDOR I/II,Niger,1,303,74.06526030843234,14.079657242307404,154.50675110354234,33.05230099288238,0.47936585152060884,MORDOR I/II Niger
